track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Added Bonus (IRE),D. J. O'Keeffe,0,Brendan Maurice Walsh,PU,,9,11-0t,88,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Western Sea (IRE),Mr L. P. Shanahan,7,Ross O'Sullivan,8th,1/2 l,10,11-10,98,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Quantatmental (IRE),B. W. Harvey,5,Cian Michael Collins,7th,20 l,8,11-13b,101,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Crowsatedappletart (IRE),S. Fitzgerald,3,Michael Winters,6th,2 3/4 l,6,11-5t,93,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Go Battle (IRE),Shane O'Callaghan,7,Philip Michael Byrne,5th,4 l,9,10-2t1,76,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Name Me Famous (IRE),Sean Flanagan,0,Eoin Christopher McCarthy,4th,1 3/4 l,7,11-5tp,93,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Dreamsrmadeofthis (IRE),T. Joseph Kelly,7,Enda Bolger,3rd,3 l,6,12-0p,102,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,Berliet Express (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,8 l,7,10-10t,84,True,56,13
Limerick Racing Results | 25th May 2023 17:30,,17:30,Good (Good To Yielding In Places),2m 1f 160y,The Eye Of Tulla (IRE),Peter Carberry,0,Brian M. McMahon,1st,,7,10-1p,75,True,56,13
Limerick Racing Results | 25th May 2023 18:00,,18:00,Good (Good To Yielding In Places),2m 3f 160y,Effernock Fizz (IRE),D. J. O'Keeffe,0,Cian Michael Collins,4th,1 1/2 l,8,11-2tp,-,True,56,14
Limerick Racing Results | 25th May 2023 18:00,,18:00,Good (Good To Yielding In Places),2m 3f 160y,Minx Tiara (IRE),Sean Flanagan,0,David M. O'Brien,3rd,17 l,8,10-11,-,True,56,14
Limerick Racing Results | 25th May 2023 18:00,,18:00,Good (Good To Yielding In Places),2m 3f 160y,Hurricane Georgie (IRE),B. W. Harvey,5,Gordon Elliott,2nd,1 1/4 l,6,10-11,-,True,56,14
Limerick Racing Results | 25th May 2023 18:00,,18:00,Good (Good To Yielding In Places),2m 3f 160y,Jeremys Flame (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,1st,,9,11-7h,-,True,56,14
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Winter Carnival (IRE),S. Fitzgerald,3,John Neilan,UR,,8,11-12b1,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Hutchie (IRE),A. M. McCurtin,0,Ms Debbie Hartnett,PU,,7,11-12t,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Golas Tiep (FR),Shane O'Callaghan,7,Colin A. McBratney,9th,4 1/4 l,7,11-12b,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Shannon Glory (IRE),D. E. Mullins,0,Paul Power,8th,Head,6,11-5,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Freedom To Dream (FR),Sean Flanagan,0,Peter Fahey,7th,38 l,8,11-12,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Desert Friend (IRE),Donagh Meyler,0,Denis Hogan,6th,11 l,7,11-12,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Caesar Rock (IRE),R. A. Doyle,0,M. F. Morris,5th,Nose,7,11-12p,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,San Salvador (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,4th,5 1/2 l,7,11-12,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Grozni (FR),M. M. McDonagh,5,Charles Byrnes,3rd,2 l,7,11-12,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,The Friday Man,Keith Donoghue,0,Gordon Elliott,2nd,1 3/4 l,6,11-12,-,True,56,15
Limerick Racing Results | 25th May 2023 18:30,,18:30,Good To Yielding,2m 6f 160y,Toss Again (IRE),D. J. O'Keeffe,0,Henry de Bromhead,1st,,6,11-12t,-,True,56,15
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Definiteadare (IRE),Patrick O'Hanlon,5,Charles Coakley,PU,,9,12-0,94,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Shean Glory (IRE),Phillip Enright,0,Sean Aherne,PU,,7,11-7,87,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Stormy Master (IRE),D. J. O'Keeffe,0,Ray Hackett,PU,,9,11-5p,85,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Tiantu (IRE),Miss J. M. Cook,7,Paul Power,PU,,10,11-4tp,84,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Big Leg Up (IRE),L. A. McKenna,5,J. G. Cosgrave,PU,,9,11-11b,91,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Deux Par Deux (FR),K. E. Buckley,3,Mrs Denise Foster,PU,,9,11-9t,89,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Cluan Dara (IRE),D. E. Mullins,0,John Patrick Ryan,PU,,11,10-4,70,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Likable Chancer (IRE),D. J. Gilligan,7,Daniel John Howard,8th,6 1/2 l,9,11-4tb,84,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Elusive Star (IRE),C. Smithers,7,M. Hourigan,7th,1/2 l,9,11-11b1,91,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Repeat That (IRE),J. J. Slevin,0,Michael Butler,6th,1/2 l,10,10-12,78,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,O Mio Babbino (IRE),J. P. Shinnick,7,Patrick Cronin,5th,3/4 l,7,11-12,92,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Tech Talk (IRE),Keith Donoghue,0,J. T. R. Dreaper,4th,3/4 l,8,11-12,92,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Meehall (IRE),M. M. McDonagh,5,Eric McNamara,3rd,3 l,7,11-10p,90,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Winnie Woodnutt (IRE),Mr A. Harvey,7,D. Harvey,2nd,10 l,7,12-0ht,94,True,56,16
Limerick Racing Results | 25th May 2023 19:00,,19:00,Good To Yielding,2m 3f 160y,Legacy Of Dreams (FR),S. D. Torrens,0,P. J. Rothwell,1st,,8,10-11b,77,True,56,16
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Somethingaboutcian,S. Fitzgerald,3,Shane Nolan,PU,,7,11-12t,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Zanjabeel,L. A. McKenna,0,Stephanie Ocsko-Moore,PU,,10,11-12t,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,It'sallabouteve (IRE),A. M. McCurtin,0,Brendan Maurice Walsh,PU,,7,11-5,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Steppenwolf (FR),Keith Donoghue,0,Gavin Patrick Cromwell,PU,,5,11-12,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Bonne Debut (IRE),J. J. Slevin,0,Mark John Scallan,10th,1 l,7,11-5,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Jetango (IRE),R. A. Doyle,0,W. J. Burke,9th,11 l,7,11-12tp,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Friends N Commerce (IRE),Philip Donovan,5,Patrick G. Kelly,8th,Neck,7,11-12,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Vocito (IRE),M. P. O'Connor,5,Eoin Doyle,7th,13 l,5,11-12p,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Some Dove (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,8 l,6,11-5,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Pale Blue Dot (FR),D. King,5,Denis Hogan,5th,8 1/2 l,7,11-12p,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Hope Des Blins (FR),Liam Quinlan,5,John Patrick Ryan,4th,1 1/4 l,6,11-5,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Gali Flight (FR),B. Hayes,0,Philip Fenton,3rd,7 l,7,11-12p,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Look Dont Touch (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,2nd,1 1/2 l,8,11-12t,-,True,56,17
Limerick Racing Results | 25th May 2023 19:30,,19:30,Good To Yielding,2m 3f 160y,Clounts Pride (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,1st,,10,11-12,-,True,56,17
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Rudy Catrail (IRE),Gavin Peter Brouder,5,E. Sheehy,UR,,12,10-0,74,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,He Fitz In (IRE),D. E. Mullins,0,D. E. Fitzgerald,PU,,7,11-2p,90,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Full Noise (IRE),Keith Donoghue,0,Ronan M. P. McNally,PU,,7,11-10,98,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Chainofconsequence (IRE),S. F. O'Keeffe,0,Michael J. McDonagh,PU,,6,11-9,97,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Citizen's Army (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,12th,73 l,8,10-11p,85,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Well Joey (IRE),M. M. McDonagh,5,Paul Stafford,11th,24 l,12,11-4t,92,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Steps Match (IRE),K. E. Buckley,3,Michael Butler,10th,2 l,8,11-5,93,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Wild Caprice (IRE),Liam Quinlan,5,John Patrick Ryan,9th,Neck,9,11-4,92,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Shamror Lass (IRE),Sean Flanagan,0,Miss D. M. O'Shea,8th,18 l,6,10-4p,78,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Golden Glen (IRE),Shane O'Callaghan,7,Brendan Maurice Walsh,7th,23 l,9,10-1tp,75,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Seskin Flyer (IRE),Phillip Enright,0,Patrick Carey,6th,16 l,12,10-1,75,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Sean Says (IRE),Thomas Reilly,7,Rodger Sweeney,5th,4 1/2 l,7,11-7p,95,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Sanibel Island (IRE),D. J. O'Keeffe,0,M. Hourigan,4th,8 1/2 l,11,10-12,86,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Gondor (IRE),R. J. Condon,5,Colm A. Murphy,3rd,2 1/2 l,8,11-9,97,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Tullyhogue Fort (IRE),J. J. Slevin,0,John F. O'Neill,2nd,3/4 l,7,10-8,82,True,56,18
Limerick Racing Results | 25th May 2023 20:00,,20:00,Good To Yielding,2m 6f 160y,Glen Ava (IRE),Patrick Michael O'Brien,7,Ms Claire O'Connell,1st,,7,10-7p,81,True,56,18
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Centurion Steel (IRE),M. P. O'Connor,5,Henry de Bromhead,PU,,8,12-0tp,116,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Influential Lady (IRE),Kieran Callaghan,7,James M. Barcoe,PU,,9,11-5,107,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Outside The Door (IRE),P. T. Smithers,7,Padraig Roche,PU,,7,11-8,110,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Presenting Point (IRE),D. J. O'Keeffe,0,A. M. O'Grady,7th,30 l,9,11-7b,109,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Lord Gillygooley (IRE),S. Fitzgerald,3,Declan Queally,6th,28 l,8,11-2tv,104,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Earths Furies (IRE),E. Walsh,5,Eugene M. O'Sullivan,5th,1 l,7,11-0b,102,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Battle Of Mirbat (IRE),S. F. O'Keeffe,0,Michael J. McDonagh,4th,6 1/2 l,6,11-10,112,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Oscer Romero (IRE),Patrick O'Hanlon,5,P. J. Rothwell,3rd,10 l,8,11-6p,108,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,Goodnightngodbless (USA),C. G. O'Dwyer,5,J. D. Motherway,2nd,6 1/2 l,10,11-2tp,104,True,56,19
Limerick Racing Results | 25th May 2023 20:30,,20:30,Good To Yielding,3m 1f 110y,The Abbey (IRE),D. J. Gilligan,7,Gordon Elliott,1st,,10,11-4p,106,True,56,19
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Time'll Tell,R. Whearty,7,John Andrew Kinsella,17th,4 3/4 l,2,8-10,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Chou Chou (IRE),L. F. Roche,0,Noel Meade,16th,Neck,2,9-1,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Guest Star,Shane Foley,0,Mrs J. Harrington,15th,1/2 l,2,9-7,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Velvet Skies (IRE),G. F. Carroll,0,Michael Mulvany,14th,1/2 l,2,8-13,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Spicy Water (IRE),N. M. Crosse,0,W. McCreery,13th,Head,2,9-0,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Jakajaro (IRE),C. T. Keane,0,David Marnane,12th,3/4 l,2,9-5,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Transcending Glory (IRE),S. B. Kelly,0,John Patrick Murtagh,11th,1 l,2,9-5,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Sanshiro (IRE),D. N. Curran,7,Darren Bunyan,10th,1/2 l,2,8-13,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Rush Queen (IRE),R. P. Whelan,0,Adrian McGuinness,9th,Nose,2,9-2,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,St Laurence's Gate (IRE),G. M. Ryan,0,James M. Barrett,8th,Neck,2,9-1,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Absolute Advantage,D. B. McMonagle,0,Joseph Patrick O'Brien,6th,1 1/4 l,2,9-7t1,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Si Senior (IRE),Seamie Heffernan,0,Patrick Magee,6th,Dead Heat,2,8-8,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Ocean Baroque (IRE),Declan McDonogh,0,Kieran Patrick Cotter,5th,2 l,2,9-1,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,King Cuan,William James Lee,0,P. Twomey,4th,Short Head,2,9-3,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Loterie (IRE),C. D. Hayes,0,Eddie & Patrick Harty,3rd,1 1/4 l,2,8-12,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Gaenari (IRE),D. E. Sheehy,3,Diego Dias,2nd,Neck,2,8-12h1,-,True,56,20
Curragh Racing Results | 26th May 2023 16:50,,16:50,Good (Good To Firm In Places),6f,Nemonte (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,1st,,2,8-10,-,True,56,20
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Thunder Dance,N. M. Crosse,0,W. McCreery,13th,28 l,3,9-3b1,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Giocoso (IRE),A. J. Slattery,0,A. Slattery,12th,1 l,4,9-12,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Dark Willow (IRE),Siobhan Rutledge,5,Mrs Mary Whelehan,11th,2 1/2 l,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Contradanza (IRE),C. D. Hayes,0,John Patrick Hayes,10th,1/2 l,4,9-12,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Hope And Innocence (IRE),S. B. Kelly,0,John Patrick Murtagh,9th,1 1/2 l,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Machnamh (IRE),Kyanna Van Buuren,10,J. S. Bolger,8th,1/2 l,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Danvers Gold (IRE),Shane Foley,0,Mrs J. Harrington,7th,2 l,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Daisy Jones (USA),C. J. MacRedmond,5,Takashi Kodama,6th,3/4 l,5,9-12v1,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Saturn Seven (IRE),William James Lee,0,K. J. Condon,5th,3/4 l,3,9-3t,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Miracle Nation (IRE),G. P. Halpin,0,Kevin Prendergast,4th,Short Head,3,9-3t1,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Sibyl Charm (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,3rd,1 1/2 l,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Roaming Star (IRE),Seamie Heffernan,0,W. P. Browne,2nd,2 1/2 l,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 17:25,,17:25,Good (Good To Firm In Places),6f,Ostraka (IRE),R. P. Whelan,0,M. Halford & T. Collins,1st,,3,9-3,-,True,56,21
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Angel Above (IRE),N. M. Crosse,0,Luke Comer,10th,3/4 l,3,8-9,75,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Cyber Attack (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,9th,Short Head,3,9-0,80,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Amazing Show,M. A. Enright,0,G. M. Lyons,8th,2 1/4 l,3,9-9b1,89,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Semantics (USA),C. T. Keane,0,G. M. Lyons,7th,3/4 l,3,8-11,77,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Vernet (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,6th,1 1/2 l,3,9-9,89,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Impact Warrior (IRE),William James Lee,0,P. Twomey,5th,1/2 l,3,9-12t,92,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Tea Olive (FR),L. F. Roche,0,Noel Meade,4th,Neck,3,8-11,77,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Snowcapped (IRE),Shane Foley,0,Mrs J. Harrington,3rd,1/2 l,3,9-6,86,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Clounmacon (IRE),J. A. Powell,5,John Patrick Murtagh,2nd,Head,3,9-10,90,True,56,22
Curragh Racing Results | 26th May 2023 18:00,,18:00,Good (Good To Firm In Places),1m,Bellaphina (IRE),C. D. Maxwell,0,John Andrew Kinsella,1st,,3,9-2,82,True,56,22
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Go Til Its Over (IRE),K. J. Leonard,0,Philip Michael Byrne,8th,6 1/2 l,3,9-8,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Beyond the Steps (IRE),Shane Foley,0,Mrs J. Harrington,7th,3 1/4 l,3,9-8t1,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Dream Escape,D. B. McMonagle,0,Thomas Mullins,6th,1/2 l,4,10-5,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Lope De Rueda,William James Lee,0,Charles O'Brien,5th,1 1/2 l,3,9-8,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,The Franchise (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,4th,1/2 l,3,9-8,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Hotaugustnight (IRE),M. A. Enright,0,J. A. Stack,3rd,1 l,3,9-3,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Space Age (IRE),C. T. Keane,0,John Joseph Murphy,2nd,Neck,3,9-8,-,True,56,23
Curragh Racing Results | 26th May 2023 18:30,,18:30,Good (Good To Firm In Places),7f,Subzero (IRE),Ryan Moore,0,Aidan O'Brien,1st,,3,9-8,-,True,56,23
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Shanghai Dragon (IRE),L. T. McAteer,3,Patrick T. Foley,17th,17 l,4,9-10v,85,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,She's In the Game (IRE),Neve Bennett,7,W. T. Farrell,16th,1 1/4 l,6,9-12,87,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Miramis (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,15th,Neck,5,10-0,89,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Maid To Shine (IRE),M. P. Sheehy,0,G. Hassett,14th,1/2 l,4,8-8t,69,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Big Baby Bull (IRE),S. D. Bowen,7,Denis Hogan,13th,Head,7,9-6t,81,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Might And Mercy,C. T. Keane,0,Noel Meade,12th,4 3/4 l,4,9-5p,80,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Bells on Her Toes (IRE),A. J. Slattery,0,A. Slattery,11th,1/2 l,4,8-12v,73,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Hightimeyouwon,C. J. MacRedmond,5,Adrian McGuinness,10th,1 1/4 l,7,9-3b,78,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Toriangel (IRE),R. C. Colgan,0,Ms Sheila Lavery,9th,3/4 l,4,8-13,74,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Touching Clouds (USA),C. D. Hayes,0,D. K. Weld,8th,Short Head,4,9-1,76,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Half Nutz (IRE),R. P. Whelan,0,Adrian McGuinness,7th,Short Head,6,9-4,79,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Exquisite Acclaim (IRE),Adam Caffrey,7,Adrian McGuinness,6th,Nose,4,9-12p,87,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,No Niki No (IRE),Declan McDonogh,0,E. J. O'Neill,5th,1 3/4 l,7,9-4b,79,True,56,24
Curragh Racing Results | 26th May 2023 19:00,,19:00,Good (Good To Firm In Places),7f,Jered Maddox,J. A. Powell,5,David Marnane,4th,Neck,7,8-9,70,True,56,24
